资产,调整前（无约束版）,约束后权重,持仓细分（当前）,变化 (=约束后−持仓)
Cash,0.0,5.0,3.0,2.0
Short Bond,7.73,7.0,15.0,-8.0
Credit,19.15,18.9,25.0,-6.100000000000001
Long Bond,0.35,0.5,10.0,-9.5
Equity Div,9.3,9.2,10.0,-0.8000000000000007
Equity Growth,3.9,3.2,12.0,-8.8
Equity Theme,4.29,3.6,6.0,-2.4
REITs,55.27,49.6,2.0,47.6
Gold,0.0,2.0,0.0,2.0
Commodity,0.0,0.0,0.0,0.0
Overseas,0.0,1.0,0.0,1.0
