大类,当前持仓,无约束 MVO,含桶约束 MVO,变化（含桶约束 − 当前）
现金类,3.0,0.0,5.0,2.0
固收类,65.0,27.24,25.0,-40.0
股票类,24.0,17.5,16.0,-8.0
另类类,8.0,55.27,54.0,46.0
